date,ust1,ust2,ust5,ust10,ust5vs2,ust10vs2
20001204,5.9538193565,5.7300292867,5.4669544454,5.4693394456,-0.2630748413,-0.2606898411
20001205,5.8333912557,5.4638391221,5.3471946444,5.3522689871,-0.1166444777,-0.111570134999999
20001206,5.7768590572,5.3898940488,5.2698895413,5.249273044,-0.1200045075,-0.140621004800001
20001207,5.8088520558,5.3975815087,5.2695736661,5.2303127172,-0.1280078426,-0.1672687915
20001208,5.8086351187,5.4196256086,5.2762552866,5.2302417808,-0.143370322,-0.1893838278
20001211,5.8569826757,5.4841077611,5.3349738559,5.2898528581,-0.149133905199999,-0.194254903
20001212,5.8569046275,5.4734370184,5.3241458884,5.2758060485,-0.14929113,-0.197630969900001
20001213,5.7870561334,5.3802816197,5.2291473036,5.1901664487,-0.1511343161,-0.190115171
20001214,5.7703370108,5.3859707518,5.1693693459,5.1480239379,-0.216601405900001,-0.237946813900001
20001215,5.7370365167,5.348314501,5.1306140543,5.1089725751,-0.2177004467,-0.2393419259
20001218,5.6610345207,5.3176935895,5.0980705842,5.1106581286,-0.2196230053,-0.2070354609
20001219,5.6687636139,5.3254105061,5.1046556341,5.1243731661,-0.220754872,-0.20103734
20001220,5.5345661155,5.1713904786,4.9685269253,4.9776470856,-0.2028635533,-0.193743393
20001221,5.462497887,5.1395290676,4.9680721192,4.9736257938,-0.171456948399999,-0.1659032738
20001222,5.3816950188,5.0682189027,4.9259848189,4.9438148978,-0.1422340838,-0.1244040049
20001226,5.431230092,5.10626338,4.9657978668,4.9979116239,-0.1404655132,-0.108351756099999
20001227,5.4895252932,5.1617992916,5.021112482,5.0487560257,-0.1406868096,-0.1130432659
20001228,5.5140427391,5.1924135706,5.043393052,5.05454649,-0.1490205186,-0.1378670806
20001229,5.4313686226,5.0909092593,5.0027958732,5.0446147967,-0.0881133861,-0.0462944626
20010102,5.2586418607,4.8625436049,4.782702206,4.8588997751,-0.0798413989,-0.0036438298
20010103,5.1531291356,4.9199880499,5.0041127298,5.0913876674,0.0841246799,0.171399617500001
20010104,4.9519535739,4.7757338774,4.8849613541,4.976800631,0.109227476699999,0.201066753599999
20010105,4.7143930702,4.5671636839,4.7178951458,4.8657230487,0.1507314619,0.298559364799999
20010108,4.7106474068,4.5588253316,4.7265645072,4.8871193431,0.1677391756,0.328294011500001
20010109,4.823059522,4.6503751222,4.7988901858,4.9346742389,0.148515063600001,0.2842991167
20010110,4.9563595052,4.7606021143,4.8881197575,5.0325252143,0.1275176432,0.2719231
20010111,4.9086304175,4.7329922672,4.8666710896,5.0462066267,0.1336788224,0.3132143595
20010112,5.071404927,4.8948023781,5.0186611606,5.1894231373,0.1238587825,0.294620759200001
20010116,5.0675708565,4.8804818491,4.9905388562,5.1656904627,0.1100570071,0.2852086136
20010117,5.0316495588,4.8260700406,4.9127503526,5.1079269784,0.086680312,0.2818569378
20010118,4.9090219921,4.710030956,4.8185477824,5.0454915114,0.1085168264,0.3354605554
20010119,4.9055471063,4.7313588507,4.8951169266,5.1032863659,0.1637580759,0.371927515199999
20010122,4.8950169939,4.7400318517,4.939413158,5.159256649,0.199381306299999,0.419224797299999
20010123,4.9415952099,4.8235458653,5.0130952915,5.2142015488,0.1895494262,0.3906556835
20010124,4.9591229899,4.8452214924,5.0232873028,5.2352214405,0.1780658104,0.3899999481
20010125,4.9011249998,4.8068052483,4.9627371541,5.1730191864,0.1559319058,0.3662139381
20010126,4.8975720254,4.8222812566,4.9835005668,5.202983113,0.1612193102,0.3807018564
20010129,4.8570690357,4.8064211577,5.0034468864,5.2389623638,0.1970257287,0.4325412061
20010130,4.763948867,4.7427003549,4.9286411806,5.1586647985,0.185940825699999,0.4159644436
20010131,4.6624041153,4.6093493919,4.8288591978,5.0501317427,0.2195098059,0.440782350799999
20010201,4.6773400639,4.588103527,4.8006699617,5.0213434171,0.212566434699999,0.433239890099999
20010202,4.7748609602,4.6771889382,4.8732304505,5.0936161869,0.1960415123,0.4164272487
20010205,4.7894271194,4.7000253294,4.899675037,5.1068001542,0.1996497076,0.4067748248
20010206,4.8168573225,4.7070077522,4.9087996209,5.1161891097,0.2017918687,0.4091813575
20010207,4.8444451508,4.7443740136,4.9418223714,5.1490796387,0.1974483578,0.4047056251
20010208,4.8122395954,4.7230597123,4.9108822043,5.120519369,0.187822492,0.397459656700001
20010209,4.751837513,4.6591185498,4.8527167788,5.0671416521,0.193598228999999,0.4080231023
20010212,4.7584530756,4.6719268709,4.8698238031,5.0992390316,0.1978969322,0.4273121607
20010213,4.794430641,4.7054440754,4.8874918304,5.1116331047,0.182047755,0.4061890293
20010214,4.9037732894,4.8413435055,4.9960186797,5.1967776293,0.154675174199999,0.355434123799999
20010215,4.8914814492,4.83837305,5.0112959682,5.2082988317,0.172922918199999,0.369925781699999
20010216,4.7810813231,4.7451585435,4.9302704905,5.1463405969,0.185111947,0.4011820534
20010220,4.7753464893,4.7388993138,4.912513766,5.1492272363,0.1736144522,0.4103279225
20010221,4.7583711292,4.7399045684,4.9439202252,5.1832515035,0.2040156568,0.4433469351
20010222,4.6998015938,4.6583630034,4.910055602,5.1951938968,0.2516925986,0.5368308934
20010223,4.6326153833,4.5911638466,4.8453637392,5.1462522688,0.2541998926,0.5550884222
20010226,4.5169619583,4.5211775252,4.7876405494,5.0841671105,0.2664630242,0.5629895853
20010227,4.5200115192,4.5011942713,4.7103486115,5.0077888353,0.2091543402,0.506594564
20010228,4.5321873245,4.4345681848,4.6519677141,4.9437235704,0.2173995293,0.5091553856
20010301,4.5584227868,4.4572213382,4.6378655217,4.9385880514,0.1806441835,0.4813667132
20010302,4.592643952,4.5039604288,4.7157869711,5.0097226894,0.2118265423,0.5057622606
20010305,4.5897824061,4.540493111,4.7503519001,5.0405424689,0.2098587891,0.5000493579
20010306,4.557139471,4.5131443136,4.7276363178,5.0234247166,0.2144920042,0.510280403
20010307,4.4806804938,4.4474826558,4.6553537957,4.9512530323,0.2078711399,0.5037703765
20010308,4.4913571885,4.4723895494,4.6651159346,4.9683993398,0.1927263852,0.496009790400001
20010309,4.5499851291,4.4953551786,4.6962854694,4.9994941287,0.200930290800001,0.504138950100001
20010312,4.4783562248,4.4348827135,4.6511969823,4.9537531822,0.2163142688,0.518870468699999
20010313,4.4730488424,4.4680540094,4.6738315796,4.9912990386,0.2057775702,0.5232450292
20010314,4.3141592565,4.320659752,4.5656000058,4.8890851143,0.2449402538,0.5684253623
20010315,4.2233831103,4.2421358691,4.5173315321,4.8529293154,0.275195663,0.6107934463
20010316,4.2497971186,4.2730312146,4.4971929019,4.8360061995,0.224161687300001,0.5629749849
20010319,4.289035376,4.3336710856,4.5424329532,4.8752281384,0.208761867600001,0.5415570528
20010320,4.1723256822,4.2301412293,4.4736301049,4.8164751412,0.2434888756,0.5863339119
20010321,4.2071915416,4.2305842833,4.4594231121,4.8354130468,0.2288388288,0.604828763500001
20010322,4.1762567067,4.2003640091,4.4145749,4.7964123784,0.2142108909,0.5960483693
20010323,4.2610002575,4.2806449951,4.4829998151,4.8467911061,0.20235482,0.566146111
20010326,4.2385269226,4.2863161869,4.5343538605,4.9054241219,0.2480376736,0.619107935000001
20010327,4.3705843939,4.4230518195,4.6697007713,5.0407343954,0.2466489518,0.6176825759
20010328,4.2765264683,4.3513953619,4.6329964177,5.0040321989,0.2816010558,0.652636837
20010329,4.2283103625,4.3209862673,4.6376731676,5.0338780701,0.3166869003,0.7128918028
20010330,4.1615747641,4.2373654788,4.5502115902,4.853954709,0.3128461114,0.6165892302
20010402,4.158190127,4.2486025847,4.5856368141,4.9098026938,0.337034229399999,0.661200109099999
20010403,4.0384506157,4.1513649645,4.5136518116,4.8640740421,0.3622868471,0.7127090776
20010404,4.0551683634,4.1337026837,4.5062185766,4.8566790323,0.3725158929,0.7229763486
20010405,4.0837627172,4.2018418802,4.5607817047,4.9111876606,0.3589398245,0.7093457804
20010406,3.9983453749,4.0822880123,4.4793010454,4.8286815278,0.397013033099999,0.746393515499999
20010409,4.0091750394,4.1028938704,4.4905041522,4.8667796688,0.3876102818,0.7638857984
20010410,4.0937615246,4.2216846916,4.6239246769,5.0145991206,0.4022399853,0.792914429
20010411,4.1868783707,4.2764880338,4.688588822,5.0579980539,0.4121007882,0.7815100201
20010412,4.2364824535,4.3496951827,4.7500215676,5.1176621401,0.400326384900001,0.767966957400001
20010416,4.2796264753,4.4272007469,4.8332928089,5.1787724465,0.406092062,0.7515716996
20010417,4.2814181279,4.4115528923,4.8021642708,5.146967205,0.390611378500001,0.735414312700001
20010418,4.087614746,4.2410195456,4.6669817139,5.0780627501,0.4259621683,0.8370432045
20010419,4.1256271986,4.3189041608,4.8057332594,5.2275673151,0.4868290986,0.9086631543
20010420,3.9591968994,4.2479670455,4.7895093332,5.2189648964,0.5415422877,0.9709978509
20010423,3.8300120845,4.1244316041,4.6628430786,5.1112937374,0.5384114745,0.9868621333
20010424,3.8636120131,4.1308311788,4.6763673806,5.1410685506,0.5455362018,1.0102373718
20010425,3.9388865641,4.2049364483,4.7320268697,5.1861425975,0.527090421400001,0.9812061492
20010426,3.9064772238,4.160112561,4.6754227832,5.1199140311,0.5153102222,0.9598014701
20010427,4.0115636025,4.2736427183,4.8051045308,5.2482894582,0.5314618125,0.974646739900001
20010430,4.0349691585,4.3017977566,4.895314638,5.2647822942,0.5935168814,0.9629845376
20010501,3.9817500545,4.2444489942,4.8476350648,5.2178774762,0.603186070600001,0.973428482
20010502,4.0255594931,4.2723754532,4.8673030145,5.2174094775,0.5949275613,0.9450340243
20010503,3.9837414034,4.2407114073,4.7974844308,5.1428046328,0.5567730235,0.9020932255
