date,low,high,close,volume,open
2003-03-24,86.358,88.08,86.7,1869300,87.65
2003-03-25,86.45,88.23,87.6,382200,86.71
2003-03-26,86.8,87.79,87.01,1572600,87.45
2003-03-27,86.01,87.65,86.98,1437400,86.31
2003-03-28,86.3,87.26,86.75,157600,86.31
2003-03-31,84.423,85.93,84.81,2765500,85.57
2003-04-01,84.941,86.38,86.02,897200,85.2
2003-04-02,87.56,88.75,88.13,611600,87.69
2003-04-03,87.86,88.89,87.86,284400,88.74
2003-04-04,87.67,88.56,88.28,500400,88.4
2003-04-07,88.23,90.82,88.28,428600,90.34
2003-04-08,87.75,88.61,88.24,344600,88.23
2003-04-09,86.88,89.09,87.14,2933900,88.43
2003-04-10,86.56,87.48,87.46,243900,87.02
2003-04-11,86.95,88.66,87.21,117100,88.42
2003-04-14,87.32,89.04,89.04,159400,87.36
2003-04-15,88.47,89.68,89.68,182300,88.47
2003-04-16,88.08,90.03,88.19,204400,90.03
2003-04-17,88.25,89.66,89.57,431200,88.4
2003-04-21,89.06,90.08,89.63,88200,89.85
2003-04-22,88.97,91.55,91.4,765000,89.1
2003-04-23,91.28,92.35,92.08,570100,91.44
2003-04-24,91,92.07,91.31,439900,91.6
2003-04-25,90.05,91.45,90.33,81700,91.41
2003-04-28,90.39,92.17,91.81,330100,90.41
2003-04-29,91.41,92.72,92.11,307200,91.9
2003-04-30,91.42,92.57,92.01,423100,91.78
