,rawdate,year,month,day,date,low,high,close,volume,open,close-open,close-open_%of_close,high-low,high-low_%of_close,macd,rsi,50d_avg,100d_avg,200d_avg,so
2984,20120330,2012,03,30,2012-03-30,-0.132395638731141,-0.146819693642826,141.21001,-0.221631891550176,-0.132604332561814,-0.171685270245511,-0.149339746565789,-0.263797720973268,-0.264039820201056,0.795704489973018,0.01029112181618,-0.214304503522526,-0.327616389205673,-0.396160221079324,-0.232102758585603
2985,20120402,2012,04,02,2012-04-02,-0.125524730515865,-0.122922973903753,142.32001,0.125257770125965,-0.139054138190343,0.945851047933351,0.852473637194769,0.042252345374199,0.003842739997159,0.810652786922674,0.001239313754514,-0.209897289424106,-0.324242743467464,-0.394521323635196,1.09844705030532
2986,20120403,2012,04,03,2012-04-03,-0.124483892025921,-0.12998823740449,141.78,0.12456911743928,-0.118039577447046,-0.274011393732028,-0.240679128814165,-0.103306276929814,-0.122999586748908,0.781777498989027,0.006795679561105,-0.205769499204923,-0.321340591870173,-0.392988776457284,0.363577982874958
2987,20120404,2012,04,04,2012-04-04,-0.146970084311781,-0.161988783832932,140.27,0.703113891219648,-0.148209204400895,-0.321223700669084,-0.286233874460133,-0.274998270345934,-0.271833776890564,0.665466234024549,-0.025789731056895,-0.202230183693911,-0.31774519634534,-0.391703629859191,-1.60964500887338
2988,20120405,2012,04,05,2012-04-05,-0.148844384789173,-0.164897924417336,140.3,-0.130767995390384,-0.164229998090729,0.308370788855439,0.285657385056489,-0.29365216763505,-0.288628488124935,0.566804880014396,-0.026942589537698,-0.199143862465629,-0.314401693800391,-0.390606554450605,-1.57001458669234
2989,20120409,2012,04,09,2012-04-09,-0.178618112179362,-0.194404921773431,138.69,-0.09817176822064,-0.192735105381743,0.119497951018725,0.11535856428701,-0.289923627540652,-0.281634113170319,0.392759415199042,-0.012767105228555,-0.196451273153423,-0.311906446247527,-0.3896012762671,-1.60964500887338
2990,20120410,2012,04,10,2012-04-10,-0.221925654869588,-0.2035479350387,136.39999,1.04877928145279,-0.195023819918141,-1.59617634879546,-1.48563429270891,0.322169040609536,0.288184841721834,0.124178503569322,-0.010313755305588,-0.194694320524531,-0.309641564512959,-0.388744886889046,-1.60964500887338
2991,20120411,2012,04,11,2012-04-11,-0.201104720883903,-0.219964007560735,137.34,0.639796102527245,-0.208131704198012,-0.360581718170716,-0.329004610912053,-0.345911445314563,-0.329785352961001,-0.037487488192055,-0.012726387620062,-0.192344651089211,-0.307325010270612,-0.387619824862894,-1.17964078311932
2992,20120412,2012,04,12,2012-04-12,-0.195170754697983,-0.191911372701085,139.3,0.195806412028557,-0.211668808481537,1.31573456414186,1.20916387896444,0.051579294018746,0.025352697340083,-0.057361390484027,-0.068900695700235,-0.189156726950704,-0.304134365858754,-0.386395130478207,-0.28304576553656
2993,20120413,2012,04,13,2012-04-13,-0.195899487387481,-0.200846382414569,137.59,-0.109151952725002,-0.184204234044753,-1.06888437266896,-0.984380357865487,-0.095841732196271,-0.10165433948773,-0.168074126376341,-0.016797071726839,-0.187162686752514,-0.300885592297692,-0.385548815163012,-1.06527917373376
